,X,Y,Bed
5,-297500.0,-1800000.0,353.4611021049012
25,-287500.0,-1800000.0,358.3171341134039
45,-277500.0,-1800000.0,232.37986566461743
65,-267500.0,-1800000.0,297.1219950273764
85,-257500.0,-1800000.0,325.3850148258843
105,-247500.0,-1800000.0,363.4254638145665
125,-237500.0,-1800000.0,238.2401612187122
145,-227500.0,-1800000.0,130.65831130231177
165,-217500.0,-1800000.0,349.4613834385108
185,-207500.0,-1800000.0,322.3687391966712
205,-197500.0,-1800000.0,89.77541475252265
225,-187500.0,-1800000.0,263.46225884126426
245,-177500.0,-1800000.0,394.2810653179457
265,-167500.0,-1800000.0,450.5827586823054
285,-157500.0,-1800000.0,272.87294784493173
306,-297000.0,-1799500.0,143.70805362693056
326,-287000.0,-1799500.0,347.11892257511363
346,-277000.0,-1799500.0,24.45915850872024
366,-267000.0,-1799500.0,179.43279453389377
386,-257000.0,-1799500.0,329.3329086978502
406,-247000.0,-1799500.0,310.43740980607663
426,-237000.0,-1799500.0,163.1693491256297
446,-227000.0,-1799500.0,358.16418673887
466,-217000.0,-1799500.0,305.2946881690985
486,-207000.0,-1799500.0,324.59072706578024
506,-197000.0,-1799500.0,329.6957287600108
526,-187000.0,-1799500.0,343.9385739370035
546,-177000.0,-1799500.0,376.4914196101048
566,-167000.0,-1799500.0,444.19392913240017
586,-157000.0,-1799500.0,348.28095987738016
607,-296500.0,-1799000.0,246.2316566466112
627,-286500.0,-1799000.0,276.5902375380997
647,-276500.0,-1799000.0,141.4559485425096
667,-266500.0,-1799000.0,239.8219633937941
687,-256500.0,-1799000.0,311.76089469748547
707,-246500.0,-1799000.0,245.6734919956432
727,-236500.0,-1799000.0,168.50410818182417
747,-226500.0,-1799000.0,431.5132204625641
767,-216500.0,-1799000.0,253.71318396517825
787,-206500.0,-1799000.0,422.29195355674506
807,-196500.0,-1799000.0,444.5557106242051
827,-186500.0,-1799000.0,250.64772533220477
847,-176500.0,-1799000.0,373.4010579295606
867,-166500.0,-1799000.0,420.62146792904247
887,-156500.0,-1799000.0,380.94384879986126
908,-296000.0,-1798500.0,136.82766796973826
928,-286000.0,-1798500.0,322.88140636608586
948,-276000.0,-1798500.0,390.9624417363484
968,-266000.0,-1798500.0,268.4985806469607
988,-256000.0,-1798500.0,395.76144032059705
1008,-246000.0,-1798500.0,285.46676905318327
1028,-236000.0,-1798500.0,292.1873141115997
1048,-226000.0,-1798500.0,456.2084883520167
1068,-216000.0,-1798500.0,307.0930428693266
1088,-206000.0,-1798500.0,428.1884799672949
1108,-196000.0,-1798500.0,446.362089980344
1128,-186000.0,-1798500.0,330.4467683919896
1148,-176000.0,-1798500.0,295.10189444761346
1168,-166000.0,-1798500.0,406.3929974165536
1188,-156000.0,-1798500.0,334.1357125883239
1209,-295500.0,-1798000.0,77.74140299035923
1229,-285500.0,-1798000.0,423.7166990292328
1249,-275500.0,-1798000.0,346.1064245078323
1269,-265500.0,-1798000.0,284.8951028126948
1289,-255500.0,-1798000.0,405.0951816049381
1309,-245500.0,-1798000.0,363.631990257227
1329,-235500.0,-1798000.0,140.55162940753615
1349,-225500.0,-1798000.0,438.3432480245412
1369,-215500.0,-1798000.0,256.8845527419198
1389,-205500.0,-1798000.0,418.7407813871347
1409,-195500.0,-1798000.0,347.4471071709698
1429,-185500.0,-1798000.0,341.002496925867
1449,-175500.0,-1798000.0,241.43674532752848
1469,-165500.0,-1798000.0,390.4441501423511
1489,-155500.0,-1798000.0,304.13731084820233
1510,-295000.0,-1797500.0,187.5944892848105
1530,-285000.0,-1797500.0,385.6985218029919
1550,-275000.0,-1797500.0,344.2490009685432
1570,-265000.0,-1797500.0,272.32162453848827
1590,-255000.0,-1797500.0,407.24666192288606
1610,-245000.0,-1797500.0,261.97676766564894
1630,-235000.0,-1797500.0,307.66366066911047
1650,-225000.0,-1797500.0,346.5381619911132
1670,-215000.0,-1797500.0,338.41287078878537
1690,-205000.0,-1797500.0,366.6811227664981
1710,-195000.0,-1797500.0,363.3019021150056
1730,-185000.0,-1797500.0,290.2825825145337
1750,-175000.0,-1797500.0,128.8586033143689
1770,-165000.0,-1797500.0,312.6033190185021
1790,-155000.0,-1797500.0,314.86226260285986
1811,-294500.0,-1797000.0,279.97966159709057
1831,-284500.0,-1797000.0,277.7114933865468
1851,-274500.0,-1797000.0,258.93361762969187
1871,-264500.0,-1797000.0,163.87037963540303
1891,-254500.0,-1797000.0,386.1741633010128
1911,-244500.0,-1797000.0,334.62545068158204
1931,-234500.0,-1797000.0,220.20806454075935
1951,-224500.0,-1797000.0,142.95946300019935
1971,-214500.0,-1797000.0,407.6827984183666
1991,-204500.0,-1797000.0,304.98798112834027
2011,-194500.0,-1797000.0,387.8970625792962
