,X,Y,Bed
5,-297500.0,-1800000.0,353.4611021049012
15,-292500.0,-1800000.0,142.69481694000498
25,-287500.0,-1800000.0,358.3171341134039
35,-282500.0,-1800000.0,396.9867913746508
45,-277500.0,-1800000.0,232.37986566461743
55,-272500.0,-1800000.0,180.12352134358068
65,-267500.0,-1800000.0,297.1219950273764
75,-262500.0,-1800000.0,306.99282713395775
85,-257500.0,-1800000.0,325.3850148258843
95,-252500.0,-1800000.0,348.21227974080995
105,-247500.0,-1800000.0,363.4254638145665
115,-242500.0,-1800000.0,262.3181877761939
125,-237500.0,-1800000.0,238.2401612187122
135,-232500.0,-1800000.0,318.5659072380236
145,-227500.0,-1800000.0,130.65831130231177
155,-222500.0,-1800000.0,271.88244537336226
165,-217500.0,-1800000.0,349.4613834385108
175,-212500.0,-1800000.0,370.2210300121699
185,-207500.0,-1800000.0,322.3687391966712
195,-202500.0,-1800000.0,309.07136121182333
205,-197500.0,-1800000.0,89.77541475252265
215,-192500.0,-1800000.0,436.0158334088486
225,-187500.0,-1800000.0,263.46225884126426
235,-182500.0,-1800000.0,160.0783327282407
245,-177500.0,-1800000.0,394.2810653179457
255,-172500.0,-1800000.0,178.705675347954
265,-167500.0,-1800000.0,450.5827586823054
275,-162500.0,-1800000.0,196.41164416771895
285,-157500.0,-1800000.0,272.87294784493173
295,-152500.0,-1800000.0,245.56170634438183
305,-297500.0,-1799500.0,219.82388769931467
315,-292500.0,-1799500.0,214.5534130043973
325,-287500.0,-1799500.0,406.65832469348754
335,-282500.0,-1799500.0,431.3509669407062
345,-277500.0,-1799500.0,241.8940810996619
355,-272500.0,-1799500.0,72.85827150836394
365,-267500.0,-1799500.0,192.73383844548096
375,-262500.0,-1799500.0,209.79428490157056
385,-257500.0,-1799500.0,317.02299873700355
395,-252500.0,-1799500.0,346.84096261129434
405,-247500.0,-1799500.0,317.1469842822537
415,-242500.0,-1799500.0,274.5826135777561
425,-237500.0,-1799500.0,234.3602856325569
435,-232500.0,-1799500.0,157.15358842932153
445,-227500.0,-1799500.0,248.54712700681128
455,-222500.0,-1799500.0,157.00295639593003
465,-217500.0,-1799500.0,356.83247284347374
475,-212500.0,-1799500.0,273.72771787059554
485,-207500.0,-1799500.0,414.6543869411453
495,-202500.0,-1799500.0,374.25208125005327
505,-197500.0,-1799500.0,258.7026991907835
515,-192500.0,-1799500.0,391.8191569189714
525,-187500.0,-1799500.0,304.03776987944417
535,-182500.0,-1799500.0,297.44231334397284
545,-177500.0,-1799500.0,312.96247725676915
555,-172500.0,-1799500.0,137.5029287186932
565,-167500.0,-1799500.0,450.7031984714033
575,-162500.0,-1799500.0,188.6735239554058
585,-157500.0,-1799500.0,334.465112355453
595,-152500.0,-1799500.0,310.4730443693627
605,-297500.0,-1799000.0,216.72208531626828
615,-292500.0,-1799000.0,158.8693766662891
625,-287500.0,-1799000.0,248.60402296364703
635,-282500.0,-1799000.0,433.34341665085424
645,-277500.0,-1799000.0,273.9165076151488
655,-272500.0,-1799000.0,22.446780619084112
665,-267500.0,-1799000.0,374.8542338794569
675,-262500.0,-1799000.0,173.22249586439335
685,-257500.0,-1799000.0,293.4491085530878
695,-252500.0,-1799000.0,228.21389444918228
705,-247500.0,-1799000.0,364.9941707050857
715,-242500.0,-1799000.0,327.8079956443344
725,-237500.0,-1799000.0,249.9665684012671
735,-232500.0,-1799000.0,138.9085784243202
745,-227500.0,-1799000.0,240.2796278205396
755,-222500.0,-1799000.0,280.66100891631976
765,-217500.0,-1799000.0,162.3729833380684
775,-212500.0,-1799000.0,333.3072465673597
785,-207500.0,-1799000.0,386.8626350582441
795,-202500.0,-1799000.0,383.5234222502435
805,-197500.0,-1799000.0,239.27736516499093
815,-192500.0,-1799000.0,388.12945875791394
825,-187500.0,-1799000.0,311.0556180361955
835,-182500.0,-1799000.0,216.02656647192583
845,-177500.0,-1799000.0,418.4999447487679
855,-172500.0,-1799000.0,301.94362863541903
865,-167500.0,-1799000.0,337.5608265231291
875,-162500.0,-1799000.0,136.60772423805193
885,-157500.0,-1799000.0,307.6819125299644
895,-152500.0,-1799000.0,319.7048155392803
905,-297500.0,-1798500.0,137.11866905137168
915,-292500.0,-1798500.0,269.0620204903667
