,X,Y,Bed
5,-297500.0,-1800000.0,353.4611021049012
15,-292500.0,-1800000.0,142.69481694000498
25,-287500.0,-1800000.0,358.3171341134039
35,-282500.0,-1800000.0,396.9867913746508
45,-277500.0,-1800000.0,232.37986566461743
55,-272500.0,-1800000.0,180.12352134358068
65,-267500.0,-1800000.0,297.1219950273764
75,-262500.0,-1800000.0,306.99282713395775
85,-257500.0,-1800000.0,325.3850148258843
95,-252500.0,-1800000.0,348.21227974080995
105,-247500.0,-1800000.0,363.4254638145665
115,-242500.0,-1800000.0,262.3181877761939
125,-237500.0,-1800000.0,238.2401612187122
135,-232500.0,-1800000.0,318.5659072380236
145,-227500.0,-1800000.0,130.65831130231177
155,-222500.0,-1800000.0,271.88244537336226
165,-217500.0,-1800000.0,349.4613834385108
175,-212500.0,-1800000.0,370.2210300121699
185,-207500.0,-1800000.0,322.3687391966712
195,-202500.0,-1800000.0,309.07136121182333
205,-197500.0,-1800000.0,89.77541475252265
215,-192500.0,-1800000.0,436.0158334088486
225,-187500.0,-1800000.0,263.46225884126426
235,-182500.0,-1800000.0,160.0783327282407
245,-177500.0,-1800000.0,394.2810653179457
255,-172500.0,-1800000.0,178.705675347954
265,-167500.0,-1800000.0,450.5827586823054
275,-162500.0,-1800000.0,196.41164416771895
285,-157500.0,-1800000.0,272.87294784493173
295,-152500.0,-1800000.0,245.56170634438183
306,-297000.0,-1799500.0,143.70805362693056
316,-292000.0,-1799500.0,199.59417092794683
326,-287000.0,-1799500.0,347.11892257511363
336,-282000.0,-1799500.0,398.9707257380043
346,-277000.0,-1799500.0,24.45915850872024
356,-272000.0,-1799500.0,70.93709568594193
366,-267000.0,-1799500.0,179.43279453389377
376,-262000.0,-1799500.0,302.2540268137597
386,-257000.0,-1799500.0,329.3329086978502
396,-252000.0,-1799500.0,309.288815894795
406,-247000.0,-1799500.0,310.43740980607663
416,-242000.0,-1799500.0,217.81432037200804
426,-237000.0,-1799500.0,163.1693491256297
436,-232000.0,-1799500.0,103.67148576532456
446,-227000.0,-1799500.0,358.16418673887
456,-222000.0,-1799500.0,349.3173903270666
466,-217000.0,-1799500.0,305.2946881690985
476,-212000.0,-1799500.0,353.69646116727984
486,-207000.0,-1799500.0,324.59072706578024
496,-202000.0,-1799500.0,355.6753456543019
506,-197000.0,-1799500.0,329.6957287600108
516,-192000.0,-1799500.0,416.4177945751472
526,-187000.0,-1799500.0,343.9385739370035
536,-182000.0,-1799500.0,368.8427688982034
546,-177000.0,-1799500.0,376.4914196101048
556,-172000.0,-1799500.0,228.6728111265299
566,-167000.0,-1799500.0,444.19392913240017
576,-162000.0,-1799500.0,225.60729845318767
586,-157000.0,-1799500.0,348.28095987738016
596,-152000.0,-1799500.0,291.3003928140603
607,-296500.0,-1799000.0,246.2316566466112
617,-291500.0,-1799000.0,267.5747841836008
627,-286500.0,-1799000.0,276.5902375380997
637,-281500.0,-1799000.0,455.0011462557098
647,-276500.0,-1799000.0,141.4559485425096
657,-271500.0,-1799000.0,68.67914575820382
667,-266500.0,-1799000.0,239.8219633937941
677,-261500.0,-1799000.0,212.0687945184329
687,-256500.0,-1799000.0,311.76089469748547
697,-251500.0,-1799000.0,232.48644864700677
707,-246500.0,-1799000.0,245.6734919956432
717,-241500.0,-1799000.0,284.1210899360813
727,-236500.0,-1799000.0,168.50410818182417
737,-231500.0,-1799000.0,245.3874375077987
747,-226500.0,-1799000.0,431.5132204625641
757,-221500.0,-1799000.0,460.7840750106102
767,-216500.0,-1799000.0,253.71318396517825
777,-211500.0,-1799000.0,264.2834764145859
787,-206500.0,-1799000.0,422.29195355674506
797,-201500.0,-1799000.0,362.44928558450175
807,-196500.0,-1799000.0,444.5557106242051
817,-191500.0,-1799000.0,370.31686953698
827,-186500.0,-1799000.0,250.64772533220477
837,-181500.0,-1799000.0,273.7481542482672
847,-176500.0,-1799000.0,373.4010579295606
857,-171500.0,-1799000.0,236.85874342432425
867,-166500.0,-1799000.0,420.62146792904247
877,-161500.0,-1799000.0,300.5100695444308
887,-156500.0,-1799000.0,380.94384879986126
897,-151500.0,-1799000.0,279.7181863187931
908,-296000.0,-1798500.0,136.82766796973826
918,-291000.0,-1798500.0,425.4562783159993
