,x,y,bedrock_altitude (m)
2276,-1581999.8,-244499.72,-1282.6378199908222
2296,-1571999.8,-244499.72,-1135.005254327181
2316,-1561999.8,-244499.72,-1029.6955676294465
2336,-1551999.8,-244499.72,-882.3948627794271
2356,-1541999.8,-244499.72,-1088.6831041335136
2376,-1531999.8,-244499.72,-727.068204757949
2396,-1521999.8,-244499.72,-641.3192170542354
2417,-1611499.8,-243999.72,-99.02645146671276
2437,-1601499.8,-243999.72,-369.5281019070379
2457,-1591499.8,-243999.72,-1127.2978239834536
2477,-1581499.8,-243999.72,-1287.7209554178896
2497,-1571499.8,-243999.72,-1128.568250456687
2517,-1561499.8,-243999.72,-1079.2785664122744
2537,-1551499.8,-243999.72,-1104.9551976878954
2557,-1541499.8,-243999.72,-1083.904549178957
2577,-1531499.8,-243999.72,-719.071465291162
2597,-1521499.8,-243999.72,-750.150931414891
2618,-1610999.8,-243499.72,-47.29808119053666
2638,-1600999.8,-243499.72,-436.0383708561319
2658,-1590999.8,-243499.72,-1126.1500568201152
2678,-1580999.8,-243499.72,-1329.0333240500308
2698,-1570999.8,-243499.72,-1151.204343595621
2718,-1560999.8,-243499.72,-1169.379401911494
2738,-1550999.8,-243499.72,-831.0785819882763
2758,-1540999.8,-243499.72,-1067.9976963366832
2778,-1530999.8,-243499.72,-672.4499801817312
2798,-1520999.8,-243499.72,-627.7175596203675
2819,-1610499.8,-242999.72,34.83221686314502
2839,-1600499.8,-242999.72,-336.4620904097762
2859,-1590499.8,-242999.72,-1026.9938819083443
2879,-1580499.8,-242999.72,-1307.2932279933812
2899,-1570499.8,-242999.72,-1164.7659867585264
2919,-1560499.8,-242999.72,-1237.1943835951995
2939,-1550499.8,-242999.72,-757.3955928383706
2959,-1540499.8,-242999.72,-965.2040668151442
2979,-1530499.8,-242999.72,-709.2408986923979
2999,-1520499.8,-242999.72,-853.7335314011294
3000,-1619999.8,-242499.72,173.24262440149965
3020,-1609999.8,-242499.72,-76.05754681048376
3040,-1599999.8,-242499.72,-466.6873047306991
3060,-1589999.8,-242499.72,-965.6382749292062
3080,-1579999.8,-242499.72,-1315.837727329536
3100,-1569999.8,-242499.72,-1175.0944823893462
3120,-1559999.8,-242499.72,-1211.5682397185874
3140,-1549999.8,-242499.72,-868.9001693447618
3160,-1539999.8,-242499.72,-813.4778223248085
3180,-1529999.8,-242499.72,-658.1195754754232
3201,-1619499.8,-241999.72,304.37017926057484
3221,-1609499.8,-241999.72,-434.3118165168073
3241,-1599499.8,-241999.72,-414.3088698471348
3261,-1589499.8,-241999.72,-778.484749405887
3281,-1579499.8,-241999.72,-1232.1917302712402
3301,-1569499.8,-241999.72,-1183.8454570435858
3321,-1559499.8,-241999.72,-1192.4201496241826
3341,-1549499.8,-241999.72,-1103.2606110118766
3361,-1539499.8,-241999.72,-763.440344973871
3381,-1529499.8,-241999.72,-638.8533026572117
3402,-1618999.8,-241499.72,373.6741745455687
3422,-1608999.8,-241499.72,-474.88126559694734
3442,-1598999.8,-241499.72,-478.7217535612206
3462,-1588999.8,-241499.72,-982.9674436648623
3482,-1578999.8,-241499.72,-1185.2094827651645
3502,-1568999.8,-241499.72,-1199.408321800969
3522,-1558999.8,-241499.72,-1178.2438894836023
3542,-1548999.8,-241499.72,-975.2234200224168
3562,-1538999.8,-241499.72,-713.3140955380305
3582,-1528999.8,-241499.72,-644.8904214149982
3603,-1618499.8,-240999.72,387.8977670908503
3623,-1608499.8,-240999.72,-348.31296038414
3643,-1598499.8,-240999.72,-627.639872319795
3663,-1588499.8,-240999.72,-932.4068336875196
3683,-1578499.8,-240999.72,-1192.6241699113891
3703,-1568499.8,-240999.72,-1201.4333437114549
3723,-1558499.8,-240999.72,-1213.0759296880487
3743,-1548499.8,-240999.72,-888.2081308807956
3763,-1538499.8,-240999.72,-678.4152995233707
3783,-1528499.8,-240999.72,-750.9729083374054
3804,-1617999.8,-240499.72,379.2552669015056
3824,-1607999.8,-240499.72,-440.5232025498622
3844,-1597999.8,-240499.72,-782.8495747383653
3864,-1587999.8,-240499.72,-955.7007774207858
3884,-1577999.8,-240499.72,-1288.3490333881605
3904,-1567999.8,-240499.72,-1245.5999752977425
3924,-1557999.8,-240499.72,-1216.1289564987417
3944,-1547999.8,-240499.72,-923.5391110531136
3964,-1537999.8,-240499.72,-787.038716268139
3984,-1527999.8,-240499.72,-861.3861621933993
4005,-1617499.8,-239999.72,176.95539132057698
4025,-1607499.8,-239999.72,-420.49510142214274
4045,-1597499.8,-239999.72,-929.2029654264624
4065,-1587499.8,-239999.72,-965.6981418054372
4085,-1577499.8,-239999.72,-1188.1524837046104
4105,-1567499.8,-239999.72,-1223.5566708072338
4125,-1557499.8,-239999.72,-1215.161489200388
4145,-1547499.8,-239999.72,-938.009670372692
4165,-1537499.8,-239999.72,-867.913521335977
4185,-1527499.8,-239999.72,-885.4068055479896
4206,-1616999.8,-239499.72,120.17163872758414
4226,-1606999.8,-239499.72,-398.6108049060487
4246,-1596999.8,-239499.72,-1061.064332632242
4266,-1586999.8,-239499.72,-1114.835819130093
4286,-1576999.8,-239499.72,-1210.2623132942267
4306,-1566999.8,-239499.72,-1248.2273827022912
4326,-1556999.8,-239499.72,-1098.4840098449135
4346,-1546999.8,-239499.72,-913.784943879908
4366,-1536999.8,-239499.72,-934.187293535003
4386,-1526999.8,-239499.72,-882.5803381933371
4407,-1616499.8,-238999.72,104.28281785356704
4427,-1606499.8,-238999.72,-322.3173432494965
4447,-1596499.8,-238999.72,-788.1564839631236
4467,-1586499.8,-238999.72,-1139.3802487011671
4487,-1576499.8,-238999.72,-1177.800697400604
4507,-1566499.8,-238999.72,-1277.6978958304635
4527,-1556499.8,-238999.72,-846.7776734000961
4547,-1546499.8,-238999.72,-917.3702669025556
