,x,y,bedrock_altitude (m)
1315,-1562499.8,-246999.72,-611.7944142281411
1325,-1557499.8,-246999.72,-423.4434763370324
1335,-1552499.8,-246999.72,-925.1336291309876
1345,-1547499.8,-246999.72,-852.1857506864936
1355,-1542499.8,-246999.72,-946.2248184865216
1365,-1537499.8,-246999.72,-1032.3316717880004
1375,-1532499.8,-246999.72,-804.2538167158167
1385,-1527499.8,-246999.72,-646.4333236112404
1395,-1522499.8,-246999.72,-606.2077360806394
1405,-1617499.8,-246499.72,99.55336722798636
1415,-1612499.8,-246499.72,-40.52136723207794
1425,-1607499.8,-246499.72,-170.13934543081302
1435,-1602499.8,-246499.72,-413.2466889725298
1445,-1597499.8,-246499.72,-579.3594553892071
1455,-1592499.8,-246499.72,-967.0986610219616
1465,-1587499.8,-246499.72,-1165.0086823032134
1475,-1582499.8,-246499.72,-1311.628046328475
1485,-1577499.8,-246499.72,-1288.587762031273
1495,-1572499.8,-246499.72,-1140.592415097558
1505,-1567499.8,-246499.72,-1099.764290749797
1515,-1562499.8,-246499.72,-641.0523697447364
1525,-1557499.8,-246499.72,-679.2485825062356
1535,-1552499.8,-246499.72,-832.6690936601681
1545,-1547499.8,-246499.72,-1063.550547441536
1555,-1542499.8,-246499.72,-952.6626805139416
1565,-1537499.8,-246499.72,-1066.9227165471866
1575,-1532499.8,-246499.72,-828.5453703101738
1585,-1527499.8,-246499.72,-642.7199536367573
1595,-1522499.8,-246499.72,-574.8000005770995
1605,-1617499.8,-245999.72,59.71987910438688
1615,-1612499.8,-245999.72,-139.97326325861388
1625,-1607499.8,-245999.72,4.483879440022883
1635,-1602499.8,-245999.72,-296.9530773623143
1645,-1597499.8,-245999.72,-626.8621155943265
1655,-1592499.8,-245999.72,-973.378830797682
1665,-1587499.8,-245999.72,-1171.8712163452117
1675,-1582499.8,-245999.72,-1314.0083016403266
1685,-1577499.8,-245999.72,-1286.7692231108065
1695,-1572499.8,-245999.72,-1166.357431573502
1705,-1567499.8,-245999.72,-1166.388323448207
1715,-1562499.8,-245999.72,-775.4605562956671
1725,-1557499.8,-245999.72,-739.8691874237351
1735,-1552499.8,-245999.72,-939.9876755422256
1745,-1547499.8,-245999.72,-1120.3161482264816
1755,-1542499.8,-245999.72,-955.9903270940612
1765,-1537499.8,-245999.72,-1072.444690698709
1775,-1532499.8,-245999.72,-879.998384964716
1785,-1527499.8,-245999.72,-486.8165340601431
1795,-1522499.8,-245999.72,-688.3974077224246
1805,-1617499.8,-245499.72,148.4929745807843
1815,-1612499.8,-245499.72,-240.4706504171391
1825,-1607499.8,-245499.72,-406.1825027713113
1835,-1602499.8,-245499.72,-75.84471837530012
1845,-1597499.8,-245499.72,-695.3431764202011
1855,-1592499.8,-245499.72,-939.8151902726132
1865,-1587499.8,-245499.72,-1174.8164073143275
1875,-1582499.8,-245499.72,-1235.5909703392756
1885,-1577499.8,-245499.72,-1256.6473917616406
1895,-1572499.8,-245499.72,-1206.891962571234
1905,-1567499.8,-245499.72,-1177.9260333021314
1915,-1562499.8,-245499.72,-870.0056258282555
1925,-1557499.8,-245499.72,-978.4414419989776
1935,-1552499.8,-245499.72,-967.8432562243546
1945,-1547499.8,-245499.72,-1066.3330159964987
1955,-1542499.8,-245499.72,-991.7035453228808
1965,-1537499.8,-245499.72,-1026.866325471418
1975,-1532499.8,-245499.72,-753.6443318116509
1985,-1527499.8,-245499.72,-480.1373855042815
1995,-1522499.8,-245499.72,-695.3828630420942
2005,-1617499.8,-244999.72,22.145949264355085
2015,-1612499.8,-244999.72,-259.3001356328483
2025,-1607499.8,-244999.72,-360.82009980151554
2035,-1602499.8,-244999.72,-270.23448268815787
2045,-1597499.8,-244999.72,-850.1196686273254
2055,-1592499.8,-244999.72,-1118.6565343837046
2065,-1587499.8,-244999.72,-1192.345245870447
2075,-1582499.8,-244999.72,-1305.392749109627
2085,-1577499.8,-244999.72,-1220.8296092132
2095,-1572499.8,-244999.72,-1155.6887282856846
2105,-1567499.8,-244999.72,-1232.9311069423784
2115,-1562499.8,-244999.72,-914.7596197492912
2125,-1557499.8,-244999.72,-963.5470709405884
2135,-1552499.8,-244999.72,-960.0184897669176
2145,-1547499.8,-244999.72,-1129.1143518630272
2155,-1542499.8,-244999.72,-1066.8667017431517
2165,-1537499.8,-244999.72,-942.7934387984564
2175,-1532499.8,-244999.72,-756.6103087019774
2185,-1527499.8,-244999.72,-520.7242579687786
2195,-1522499.8,-244999.72,-662.1151779305877
2205,-1617499.8,-244499.72,41.10092949382232
2215,-1612499.8,-244499.72,-258.58169050476283
2225,-1607499.8,-244499.72,-127.3596967718271
2235,-1602499.8,-244499.72,-285.7653071938657
2245,-1597499.8,-244499.72,-675.589114085186
2255,-1592499.8,-244499.72,-1009.7428407666736
2265,-1587499.8,-244499.72,-1130.129481429193
2275,-1582499.8,-244499.72,-1276.5305194475277
2285,-1577499.8,-244499.72,-1214.3835374599134
2295,-1572499.8,-244499.72,-1109.6444020453685
2305,-1567499.8,-244499.72,-1188.870472085899
2315,-1562499.8,-244499.72,-1200.1882135043456
2325,-1557499.8,-244499.72,-935.2920872694144
2335,-1552499.8,-244499.72,-802.3302390430244
2345,-1547499.8,-244499.72,-1141.2810113870376
2355,-1542499.8,-244499.72,-1090.2835835743165
2365,-1537499.8,-244499.72,-953.686676743163
2375,-1532499.8,-244499.72,-743.906542633034
2385,-1527499.8,-244499.72,-517.0979416851144
2395,-1522499.8,-244499.72,-631.5909592664744
2405,-1617499.8,-243999.72,33.283644390412285
2415,-1612499.8,-243999.72,-124.08359836671173
2425,-1607499.8,-243999.72,74.53971144844434
2435,-1602499.8,-243999.72,-350.5181329988962
2445,-1597499.8,-243999.72,-594.5434584144078
2455,-1592499.8,-243999.72,-997.5999719000946
2465,-1587499.8,-243999.72,-1089.3990786742158
2475,-1582499.8,-243999.72,-1219.7771019818972
2485,-1577499.8,-243999.72,-1224.474848608446
2495,-1572499.8,-243999.72,-1163.6888658338148
2505,-1567499.8,-243999.72,-1185.2373773316904
2515,-1562499.8,-243999.72,-1109.264155179168
2525,-1557499.8,-243999.72,-1093.6316383372232
