,x,y,bedrock_altitude (m)
204,-1617999.8,-249499.72,371.1085345506601
214,-1612999.8,-249499.72,-30.42465565163824
224,-1607999.8,-249499.72,-127.40813330379548
234,-1602999.8,-249499.72,-69.11342331644542
244,-1597999.8,-249499.72,-539.8833032962175
254,-1592999.8,-249499.72,-863.1758323222743
264,-1587999.8,-249499.72,-1014.1877599079752
274,-1582999.8,-249499.72,-1265.355156653709
284,-1577999.8,-249499.72,-1278.3025948626923
294,-1572999.8,-249499.72,-1157.931520678917
304,-1567999.8,-249499.72,-1104.9279636388806
314,-1562999.8,-249499.72,-660.0556449149162
324,-1557999.8,-249499.72,-512.9444067585707
334,-1552999.8,-249499.72,-708.5195932171948
344,-1547999.8,-249499.72,-990.6788076028766
354,-1542999.8,-249499.72,-902.1903545741663
364,-1537999.8,-249499.72,-1063.3701061085353
374,-1532999.8,-249499.72,-788.6430367072492
384,-1527999.8,-249499.72,-946.1545967702592
394,-1522999.8,-249499.72,-713.6683425902033
403,-1618499.8,-248999.72,304.5979561698257
413,-1613499.8,-248999.72,-79.87185493599401
423,-1608499.8,-248999.72,-245.2122789894927
433,-1603499.8,-248999.72,-110.48660489049064
443,-1598499.8,-248999.72,-448.2076263305301
453,-1593499.8,-248999.72,-771.2585952018642
463,-1588499.8,-248999.72,-1056.4806323579517
473,-1583499.8,-248999.72,-1203.469612041466
483,-1578499.8,-248999.72,-1290.880005790081
493,-1573499.8,-248999.72,-1118.9886524062604
503,-1568499.8,-248999.72,-1153.4950407065517
513,-1563499.8,-248999.72,-694.1266719190472
523,-1558499.8,-248999.72,-508.5595559372446
533,-1553499.8,-248999.72,-770.5705536604871
543,-1548499.8,-248999.72,-883.1488933817168
553,-1543499.8,-248999.72,-959.6866664652586
563,-1538499.8,-248999.72,-1049.394153278098
573,-1533499.8,-248999.72,-865.3168069250515
583,-1528499.8,-248999.72,-854.3353907109685
593,-1523499.8,-248999.72,-621.6604465343306
602,-1618999.8,-248499.72,268.3169634709776
612,-1613999.8,-248499.72,61.95640869193053
622,-1608999.8,-248499.72,-167.61800315824308
632,-1603999.8,-248499.72,-246.5123689948061
642,-1598999.8,-248499.72,-385.56211134573033
652,-1593999.8,-248499.72,-766.563949692999
662,-1588999.8,-248499.72,-1243.2081483862091
672,-1583999.8,-248499.72,-1285.188241379886
682,-1578999.8,-248499.72,-1318.8409198959853
692,-1573999.8,-248499.72,-1159.6976195505003
702,-1568999.8,-248499.72,-1195.144584033219
712,-1563999.8,-248499.72,-825.0162425423911
722,-1558999.8,-248499.72,-482.6668450216888
732,-1553999.8,-248499.72,-723.1748526097682
742,-1548999.8,-248499.72,-920.9000136803304
752,-1543999.8,-248499.72,-974.9655323789656
762,-1538999.8,-248499.72,-1028.213629236829
772,-1533999.8,-248499.72,-992.5246538741086
782,-1528999.8,-248499.72,-725.2724299630588
792,-1523999.8,-248499.72,-662.9278527722802
801,-1619499.8,-247999.72,136.3657463003023
811,-1614499.8,-247999.72,232.3111841940188
821,-1609499.8,-247999.72,-277.5579042458476
831,-1604499.8,-247999.72,-129.7897861524167
841,-1599499.8,-247999.72,-542.9920366158279
851,-1594499.8,-247999.72,-751.433196567891
861,-1589499.8,-247999.72,-1237.4370186618978
871,-1584499.8,-247999.72,-1344.219978471635
881,-1579499.8,-247999.72,-1274.0737727890107
891,-1574499.8,-247999.72,-1194.9606964173695
901,-1569499.8,-247999.72,-1149.5727485634727
911,-1564499.8,-247999.72,-982.3330085124388
921,-1559499.8,-247999.72,-513.4454217875219
931,-1554499.8,-247999.72,-838.8989662116082
941,-1549499.8,-247999.72,-914.5981841144078
951,-1544499.8,-247999.72,-932.334148977764
961,-1539499.8,-247999.72,-989.527641747801
971,-1534499.8,-247999.72,-894.0099657853152
981,-1529499.8,-247999.72,-814.8030455185316
991,-1524499.8,-247999.72,-635.2268278067158
1000,-1619999.8,-247499.72,-4.78286737838442
1010,-1614999.8,-247499.72,343.07867789470833
1020,-1609999.8,-247499.72,-503.707648449469
1030,-1604999.8,-247499.72,-515.178664592334
1040,-1599999.8,-247499.72,-349.45676415814114
1050,-1594999.8,-247499.72,-805.1652071119075
1060,-1589999.8,-247499.72,-1161.9747332875927
1070,-1584999.8,-247499.72,-1211.6196632021877
1080,-1579999.8,-247499.72,-1245.4436441570424
1090,-1574999.8,-247499.72,-1248.2142351504335
1100,-1569999.8,-247499.72,-1199.627991701205
1110,-1564999.8,-247499.72,-981.5068337992368
1120,-1559999.8,-247499.72,-530.6424850858637
1130,-1554999.8,-247499.72,-795.3671460147978
1140,-1549999.8,-247499.72,-972.4238304830488
1150,-1544999.8,-247499.72,-861.6185902588713
1160,-1539999.8,-247499.72,-1010.8154747187708
1170,-1534999.8,-247499.72,-838.3200049805979
1180,-1529999.8,-247499.72,-824.0414504746235
1190,-1524999.8,-247499.72,-647.4856956633873
1209,-1615499.8,-246999.72,269.93774940116737
1219,-1610499.8,-246999.72,-154.7539691259481
1229,-1605499.8,-246999.72,-382.1678313466599
1239,-1600499.8,-246999.72,-387.3729654127019
1249,-1595499.8,-246999.72,-770.5419895757614
1259,-1590499.8,-246999.72,-1210.91932206952
1269,-1585499.8,-246999.72,-1232.999762724011
1279,-1580499.8,-246999.72,-1214.586289179505
1289,-1575499.8,-246999.72,-1264.2714778416894
1299,-1570499.8,-246999.72,-1141.479948064464
1309,-1565499.8,-246999.72,-887.8154401433094
1319,-1560499.8,-246999.72,-415.2600641008136
1329,-1555499.8,-246999.72,-846.9076389218791
1339,-1550499.8,-246999.72,-1045.5305546892591
1349,-1545499.8,-246999.72,-842.1343793816864
1359,-1540499.8,-246999.72,-991.0210655689864
1369,-1535499.8,-246999.72,-940.6996915123724
